repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
barcodescanner,2796,5.287671232876712,2.0,6.263827929856903,1.643835616438356,1.0,0.8558599154213042,11.821917808219178,0.0,32.825863137400866,dm77/barcodescanner,5450,6,11.54
baritone,22324,6.697674418604652,4.0,8.283863147590589,1.386892177589852,1.0,0.8080615163446129,22.11416490486258,1.0,128.1258140535953,cabaletta/baritone,8133,85,7.11
baseAdapter,1563,4.88,3.0,4.855630016500728,1.32,1.0,0.551065757771026,18.28,0.0,77.35342689927334,hongyangAndroid/baseAdapter,4722,0,10.11
BasePopup,28287,5.887323943661972,3.0,6.571381050490714,1.6954225352112675,1.0,1.2086607646799852,34.29401408450704,1.0,226.3718823085325,razerdp/BasePopup,5234,15,9.66
bazel,587206,7.538808494643864,5.0,10.365759419293065,1.621969554595001,1.0,1.3358981833283083,68.01043037023116,1.0,954.4282020760746,bazelbuild/bazel,24539,211,11.25
beam,727035,7.417828500925355,5.0,8.064285511951041,1.534299814929056,1.0,1.3892013066503812,19.637199259716223,0.0,171.31447466570418,apache/beam,8291,52,9.61
BGABanner-Android,2123,5.0,3.0,6.016004296234145,1.5849056603773586,2.0,0.6023659207386686,26.28301886792453,1.0,155.69501466235576,bingoogolapple/BGABanner-Android,4179,0,10.88
BGARefreshLayout-Android,5450,5.148148148148148,3.0,5.570800339728644,1.4074074074074074,1.0,0.7522682516424986,9.796296296296296,1.0,42.536376670264765,bingoogolapple/BGARefreshLayout-Android,4309,4,10.29
BigData-Notes,2124,5.714285714285714,5.0,3.5125981644164272,1.2207792207792207,1.0,0.4174917781534153,0.8181818181818182,0.0,1.861855842172936,heibaiying/BigData-Notes,16645,0,6.51
BigImageViewer,2513,4.607142857142857,3.0,4.817182741988038,1.2857142857142858,1.0,0.5280431839639718,12.80952380952381,1.0,61.28827325292111,Piasy/BigImageViewer,3988,0,8.85
bilibili-android-client,38892,4.92128801431127,3.0,6.313570846412489,1.8175313059033988,1.0,1.1711803570234955,42.7906976744186,3.0,173.10272351474444,HotBitmapGG/bilibili-android-client,4495,1,9.28
BilibiliDown,19838,4.206106870229007,2.0,4.249349839387258,1.7213740458015268,1.0,1.3542331889492916,42.01908396946565,1.0,307.27070013151416,nICEnnnnnnnLee/BilibiliDown,3690,80,6.63
bisq,178717,7.495827725437416,4.0,9.4734371338018,1.7499327052489906,1.0,1.1686867060519748,30.01749663526245,0.0,362.5780861667099,bisq-network/bisq,4947,142,11.5
bistoury,73638,4.837619397501837,3.0,5.845379892981338,1.2792064658339457,1.0,0.7235032943251458,21.41587068332109,1.0,119.18939024903268,qunarcorp/bistoury,4080,8,6.11
bitcoin-wallet,18379,7.532299741602067,4.0,9.77762411317408,1.7131782945736431,1.0,1.1211148119156067,5.41343669250646,0.0,21.75117471243753,bitcoin-wallet/bitcoin-wallet,3982,0,13.45
bitcoinj,46026,7.163723916532906,4.0,10.877518938824764,1.7303370786516854,1.0,2.737349337853926,89.23595505617978,0.0,697.16139462258,bitcoinj/bitcoinj,5132,14,11.81
blade,15319,4.62214983713355,3.0,5.953570187498881,1.234527687296417,1.0,0.7735708021865964,42.15635179153095,0.0,185.46663014964545,lets-blade/blade,5878,9,10.26
